arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_templates,num_cell_patterns,pairs_json
hold,E,fall,fall,none,7,6,4,"[{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__A__fall__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__B__fall__glitch__minq__1.sp""},{""cell_pattern"":[""MB*LH*QN*""],""template"":""hold/template__latch__fall__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""SLH*"",""MB*SLH*""],""template"":""hold/template__SLH__fall__SE__fall__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__fall__fall__1.sp""},{""cell_pattern"":[""MB*LHQN*"",""MB*LNQN*""],""template"":""hold/template__latch__fall__fall__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__glitch__minq__1.sp""}]"
hold,CP,rise,fall,contains_Q1,5,5,5,"[{""cell_pattern"":[""*SYNC2*Q*""],""template"":""hold/template__sync2__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC3*Q*""],""template"":""hold/template__sync3__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC4*Q*""],""template"":""hold/template__sync4__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC5*Q*""],""template"":""hold/template__sync5__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC6*Q*""],""template"":""hold/template__sync6__q1__rise__fall__1.sp""}]"
hold,CP,rise,rise,contains_Q1,5,5,5,"[{""cell_pattern"":[""*SYNC2*Q*""],""template"":""hold/template__sync2__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC3*Q*""],""template"":""hold/template__sync3__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC4*Q*""],""template"":""hold/template__sync4__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC5*Q*""],""template"":""hold/template__sync5__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC6*Q*""],""template"":""hold/template__sync6__q1__rise__rise__1.sp""}]"
nochange_high_high,CLK,rise,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN2__EN1__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN2__EN1__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN1__EN2__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN1__EN2__rise__rise__pushout__1.sp""}]"
nochange_high_high,CLK,fall,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN2__fall__EN1__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN2__fall__EN1__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN1__fall__EN2__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN1__fall__EN2__fall__pushout__negative__1.sp""}]"
nochange_low_high,CLK,rise,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN2__EN1__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN2__EN1__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN1__EN2__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN1__EN2__fall__rise__20__percent__glitch__minq__1.sp""}]"
nochange_low_high,CLK,fall,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN2__fall__EN1__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN2__fall__EN1__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN1__fall__EN2__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN1__fall__EN2__rise__20__percent__glitch__minq__1.sp""}]"
nochange_low_low,CLK,fall,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__fall__en__fall__pushout__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN2__EN1__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN2__EN1__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN1__EN2__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN1__EN2__fall__fall__pushout__1.sp""}]"
nochange_low_low,CLK,rise,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__rise__en__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN2__rise__EN1__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN2__rise__EN1__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN1__rise__EN2__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN1__rise__EN2__rise__pushout__negative__1.sp""}]"
nochange_high_low,CLK,fall,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__fall__en__rise__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN2__EN1__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN2__EN1__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN1__EN2__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN1__EN2__rise__fall__20__percent__glitch__maxq__1.sp""}]"
