arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_cell_patterns,template
nochange_high_low,I0,fall,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__fall__s__rise__20__percent__glitch__maxq__1.sp
nochange_high_low,I0,rise,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__rise__s__fall__20__percent__glitch__maxq__1.sp
nochange_low_high,I1,rise,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__rise__s__fall__20__percent__glitch__minq__1.sp
nochange_low_high,I1,fall,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__fall__s__rise__20__percent__glitch__minq__1.sp
nochange_low_low,I1,fall,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__fall__s__fall__20__percent__glitch__maxq__1.sp
nochange_low_low,I1,rise,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__rise__s__rise__20__percent__glitch__maxq__1.sp
nochange_high_high,I1,rise,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__rise__s__rise__pushout__maxq__1.sp
nochange_high_high,I1,fall,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__fall__s__fall__pushout__minq__1.sp
nochange_high_low,I1,fall,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__fall__s__rise__pushout__minq__1.sp
nochange_high_low,I1,rise,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__rise__s__fall__pushout__maxq__1.sp
nochange_low_high,I0,rise,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__rise__s__fall__pushout__maxq__1.sp
nochange_low_high,I0,fall,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__fall__s__rise__pushout__minq__1.sp
nochange_low_low,I0,fall,fall,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__setup__fall__s__fall__pushout__minq__1.sp
nochange_low_low,I0,rise,rise,contains_iq3_iq4_preZ_tgo,1,1,nochange/template__ckgmux2__hold__rise__s__rise__pushout__maxq__1.sp
nochange_high_low,I0,fall,rise,none,1,1,nochange/template__ckgmux2__setup__fall__s__rise__20__percent__glitch__minq__1.sp
nochange_high_low,I0,rise,fall,none,1,1,nochange/template__ckgmux2__hold__rise__s__fall__20__percent__glitch__minq__1.sp
nochange_high_low,I1,fall,rise,none,1,1,nochange/template__ckgmux2__setup__fall__s__rise__pushout__1.sp
nochange_high_low,I1,rise,fall,none,1,1,nochange/template__ckgmux2__hold__rise__s__fall__pushout__1.sp
nochange_low_low,I0,fall,fall,none,1,1,nochange/template__ckgmux2__setup__fall__s__fall__pushout__1.sp
nochange_low_low,I0,rise,rise,none,1,1,nochange/template__ckgmux2__hold__rise__s__rise__pushout__1.sp
nochange_low_low,I1,fall,fall,none,1,1,nochange/template__ckgmux2__setup__fall__s__fall__20__percent__glitch__minq__1.sp
